"title","url","date","topics"
"House Democrats Launch Trump Probe","https://www.allsides.com/story/house-democrats-launch-trump-probe","2019-03-04","US House"
"Former Colorado Governor John Hickenlooper Joins Presidential Race","https://www.allsides.com/story/former-colorado-governor-john-hickenlooper-joins-presidential-race","2019-03-04","Election: Presidential"
"President Trump Delivers Two Hour Speech at the CPAC","https://www.allsides.com/story/president-trump-delivers-two-hour-speech-cpac","2019-03-03","Politics"
"House Oversight Committee Pushes White House for Security Clearance Documents","https://www.allsides.com/story/house-oversight-committee-pushes-white-house-security-clearance-documents","2019-03-02","US House"
"Parents of Otto Warmbier Denounce Trump Comments, Say Kim Jong Un Is Responsible for Son's Death","https://www.allsides.com/story/parents-otto-warmbier-denounce-trump-comments-say-north-korea-responsible-sons-death","2019-03-01","North Korea"
"Governor Jay Inslee (D-WA) Announces Bid For The Presidential Nomination","https://www.allsides.com/story/governor-jay-inslee-d-wa-announces-bid-presidential-nomination","2019-03-01","Election: Presidential"
"Economy Grew by 2.9 Percent in 2018","https://www.allsides.com/story/economy-grew-29-percent-2018","2019-02-28","Economy and Jobs"
"No Agreement At North Korea Summit","https://www.allsides.com/story/no-agreement-north-korea-summit","2019-02-28","National Security"
"House Passes Bill Requiring Universal Background Checks on Firearm Sales","https://www.allsides.com/story/house-passes-universal-background-check-bill-firearm-sales","2019-02-27","Gun Control and Gun Rights"
"Michael Cohen Testifies Before The House Oversight And Reform Committee","https://www.allsides.com/story/michael-cohen-testifies-house-oversight-and-reform-committee","2019-02-27","US House"
"Bernie Sanders Gives CNN Town Hall","https://www.allsides.com/story/bernie-sanders-gives-cnn-town-hall","2019-02-26","Election: Presidential"
"White House Press Corps Evicted From Kim Jong Un's Hotel","https://www.allsides.com/story/white-house-press-corps-evicted-kim-jong-uns-hotel","2019-02-26","Asia"
"Trump's National Emergency Declaration Draws Mixed Reactions","https://www.allsides.com/story/trumps-national-emergency-draws-mixed-reactions","2019-02-25","National Security"
"Second Summit With North Korea Begins This Week","https://www.allsides.com/story/second-summit-north-korea-begins-week","2019-02-25","National Security"
"Democrats Demand Attorney General Release Full Mueller Report","https://www.allsides.com/story/democrats-demand-attorney-general-release-full-mueller-report","2019-02-24","Russia"
"Concerns About Ballot Harvesting Practice","https://www.allsides.com/story/concerns-about-ballot-harvesting-practice","2019-02-23","Voter Rights - Voter Integrity"
"Senator Feinstein and Children Get Into Debate About the Green New Deal","https://www.allsides.com/story/new-green-deal-debate-between-senator-and-children-gets-blasted","2019-02-23","Environment"
"Trump Admin Blocks Federal Funding From Clinics Providing Abortions","https://www.allsides.com/story/trump-admin-blocks-federal-funding-clinics-providing-abortions","2019-02-22","Abortion"
"North Carolina Election Board Orders New House Election","https://www.allsides.com/story/north-carolina-election-board-orders-new-house-election","2019-02-22","Elections"
"Actor Jussie Smollett Is Arrested Over False Attack Report","https://www.allsides.com/story/actor-jussie-smollett-arrested-over-false-attack-report","2019-02-21","Culture"
"Supreme Court Limits Civil Asset Forfeiture","https://www.allsides.com/story/supreme-court-limits-civil-asset-forfeiture","2019-02-20","Supreme Court"
"Putin Warns Russia May Aim New Weapons at US","https://www.allsides.com/story/putin-warns-russia-may-aim-new-weapons-us","2019-02-20","National Security"
"Turn in Jussie Smollett Attack Case Raises Concerns About Bias","https://www.allsides.com/story/turn-alleged-attack-jussie-smollett-raises-concerns-about-bias","2019-02-19","Culture"
"House Democrats Investigate Trump Admin's Involvement in Saudi Nuclear Plan","https://www.allsides.com/story/house-democrats-investigate-trump-admins-involvement-saudi-nuclear-plan","2019-02-19","Nuclear Weapons"
"Bernie Sanders Enters 2020 Presidential Race","https://www.allsides.com/story/bernie-sanders-enters-2020-presidential-race","2019-02-19","Election: Presidential"
"Andrew McCabe Says DOJ Officials Sought To Oust Trump From Office","https://www.allsides.com/story/andrew-mccabe-says-doj-officials-sought-oust-trump-office","2019-02-18","Justice Department"
"Heather Nauert Withdraws Bid for U.S. Ambassador to the United Nations","https://www.allsides.com/story/heather-nauert-withdraws-bid-us-ambassador-united-nations","2019-02-17","State Department"
"First Lawsuit Filed Against National Emergency for Border Wall","https://www.allsides.com/story/first-lawsuit-filed-against-national-emergency-border-wall","2019-02-16","White House"
"Supreme Court to Decide on Census Citizenship Question","https://www.allsides.com/story/supreme-court-decide-census-citizenship-question","2019-02-15","Supreme Court"
"President Trump Declares National Emergency Over Border Wall","https://www.allsides.com/story/president-trump-declares-national-emergency-over-border-wall","2019-02-15","Immigration"
"Trump to Declare National Emergency for Border Wall","https://www.allsides.com/story/trump-declare-national-emergency-border-wall","2019-02-14","Immigration"
"William Barr Confirmed as Attorney General","https://www.allsides.com/story/william-barr-confirmed-attorney-general","2019-02-14","Justice Department"
"Judge Rules That Former Trump Aide Paul Manafort Lied To Investigators","https://www.allsides.com/story/judge-rules-former-trump-aide-paul-manafort-lied-investigators","2019-02-14","National Security"
"National Debt Tops $22 Trillion for First Time","https://www.allsides.com/story/national-debt-tops-22-trillion-first-time","2019-02-13","Budget - Debt"
"President Trump Intends To Sign Border Deal","https://www.allsides.com/story/president-trump-intends-sign-border-deal","2019-02-13","Immigration"
"Is Centrist Media Still Biased Media?","https://www.allsides.com/story/centrist-media-still-biased-media","2019-02-12","Media Bias"
"Congressional Negotiators Strike Tentative Deal To Avert New Shutdown","https://www.allsides.com/story/congressional-negotiators-strike-tentative-deal-avert-new-shutdown","2019-02-12","US Congress"
"Rep. Ilhan Omar Apologizes for Tweet Denounced as Anti-Semitic","https://www.allsides.com/story/rep-ilhan-omar-apologizes-tweet-after-accusations-anti-semitism","2019-02-11","Israel"
"Border Talks Stall Ahead Of Deadline","https://www.allsides.com/story/border-talks-stall-ahead-deadline","2019-02-11","US Congress"
"Minnesota Senator Amy Klobuchar Announces 2020 Presidential Run","https://www.allsides.com/story/minnesota-senator-amy-klobuchar-announces-2020-presidential-run","2019-02-11","Election: Presidential"
"White House Says Shutdown is Still on the Table","https://www.allsides.com/story/white-house-says-shutdown-still-table","2019-02-10","White House"
"Lawmakers Heading to Close in on Border Wall Deal","https://www.allsides.com/story/lawmakers-heading-close-border-wall-deal","2019-02-09","US Congress"
"Acting AG Whitaker Says He Has Not Interfered in Russia Probe","https://www.allsides.com/story/acting-ag-whitaker-says-he-has-not-interfered-russia-probe","2019-02-08","Russia"
"Supreme Court Blocks Louisiana Abortion Law","https://www.allsides.com/story/supreme-court-blocks-louisiana-abortion-law","2019-02-08","Supreme Court"
"Representative Alexandria Ocasio-Cortez Releases Green New Deal Outline","https://www.allsides.com/story/representative-alexandria-ocasio-cortez-releases-green-new-deal-outline","2019-02-07","US House"
"House Democrats Begin Battle For Trump Tax Returns","https://www.allsides.com/story/house-democrats-begin-battle-trump-tax-returns","2019-02-07","US House"
"Virginia Politics in Turmoil as Herring, Fairfax Come Under Fire","https://www.allsides.com/story/virginia-politics-turmoil-fairfax-herring-come-under-fire","2019-02-06","Politics"
"Analysis of 2019 State of the Union Address","https://www.allsides.com/story/analysis-2019-state-union-address","2019-02-06","Politics"
"What To Expect At The State of the Union Address","https://www.allsides.com/story/what-expect-state-union-address-0","2019-02-05","Politics"
"Washington Post Airs Super Bowl Ad Honoring Journalists","https://www.allsides.com/story/washington-post-airs-super-bowl-ad-press-freedom","2019-02-04","Sports"
"Calls For Resignation Grow As Virginia Governor Meets With Cabinet","https://www.allsides.com/story/calls-resignation-grow-virginia-governor-meets-cabinet","2019-02-04","Politics"
"Virginia Governor Refuses to Resign After Racist Photo","https://www.allsides.com/story/virginia-governor-refuses-resign-after-racist-photo","2019-02-03","Politics"
"Virginia Governor Apologizes for Racist Yearbook Photo","https://www.allsides.com/story/virginia-governor-apologizes-racist-yearbook-photo","2019-02-02","Politics"
"Cory Booker Announces 2020 Bid for President","https://www.allsides.com/story/cory-booker-announces-2020-bid-president","2019-02-01","Election: Presidential"
"Trump Administration Suspends Nuclear Arms Treaty With Russia","https://www.allsides.com/story/trump-administration-suspends-nuclear-arms-treaty-russia","2019-02-01","National Security"
"Bernie Sanders Proposes Increase on Estate Tax for the Wealthy","https://www.allsides.com/story/bernie-sanders-proposes-big-increase-estate-tax-wealth","2019-01-31","Taxes"
"Republicans Poised To Rebuke Trump On National Security Moves","https://www.allsides.com/story/republicans-poised-rebuke-trump-national-security-moves-0","2019-01-31","National Security"
